concept_id,category_id,nulls,api_url
24,84,data.game_data.problem.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/84/
24,88,"data.game_data.question_image, data.game_data.problem.custom_phoneme_sound, data.game_data.options[0].option.custom_phoneme_sound, data.game_data.options[1].option.custom_phoneme_sound, data.game_data.options[2].option.custom_phoneme_sound, data.game_data.options[3].option.custom_phoneme_sound, data.game_data.options[4].option.custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/88/
65,966,data.game_data.problem.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/65/966/
24,83,data.game_data.problem.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/83/
24,96,data.game_data.problem.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/96/
24,97,"data.game_data.question_image, data.game_data.problem.custom_phoneme_sound, data.game_data.options[0].option.custom_phoneme_sound, data.game_data.options[1].option.custom_phoneme_sound, data.game_data.options[2].option.custom_phoneme_sound, data.game_data.options[3].option.custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/97/
24,87,"data.game_data.question_image, data.game_data.problem.custom_phoneme_sound, data.game_data.options[0].option.custom_phoneme_sound, data.game_data.options[1].option.custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/87/
24,95,data.game_data.problem.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/95/
24,89,data.game_data.problem.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/89/
24,90,"data.game_data.question_image, data.game_data.problem.custom_phoneme_sound, data.game_data.options[0].option.custom_phoneme_sound, data.game_data.options[1].option.custom_phoneme_sound, data.game_data.options[2].option.custom_phoneme_sound, data.game_data.options[3].option.custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/90/
24,627,"data.game_data.problems[0].custom_phoneme_sound, data.game_data.problems[1].custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/627/
24,177,"data.game_data.question_image, data.game_data.problem.custom_phoneme_sound, data.game_data.options[0].option.custom_phoneme_sound, data.game_data.options[1].option.custom_phoneme_sound, data.game_data.options[2].option.custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/177/
24,630,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/630/
24,628,"data.game_data.problems[0].image, data.game_data.problems[0].custom_phoneme_sound, data.game_data.problems[1].sound, data.game_data.problems[1].custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/628/
24,631,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/631/
24,633,"data.game_data.problems[0].custom_phoneme_sound, data.game_data.problems[1].custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/633/
24,635,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/635/
24,634,"data.game_data.problems[0].image, data.game_data.problems[0].custom_phoneme_sound, data.game_data.problems[1].image, data.game_data.problems[1].custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/634/
24,637,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/637/
24,641,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/641/
24,640,"data.game_data.problems[0].image, data.game_data.problems[0].custom_phoneme_sound, data.game_data.problems[1].image, data.game_data.problems[1].custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/640/
24,643,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/643/
24,629,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/629/
24,646,"data.game_data.problems[0].image, data.game_data.problems[0].custom_phoneme_sound, data.game_data.problems[1].image, data.game_data.problems[1].custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/646/
24,642,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/642/
24,639,"data.game_data.problems[0].custom_phoneme_sound, data.game_data.problems[1].custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/639/
24,649,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/649/
24,651,"data.game_data.problems[0].custom_phoneme_sound, data.game_data.problems[1].custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/651/
24,648,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/648/
24,654,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/654/
24,652,"data.game_data.problems[0].image, data.game_data.problems[0].custom_phoneme_sound, data.game_data.problems[1].image, data.game_data.problems[1].custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/652/
24,655,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/655/
24,657,"data.game_data.problems[0].custom_phoneme_sound, data.game_data.problems[1].custom_phoneme_sound",https://api-play-staging.brightzy.com/word/game/level/24/657/
24,660,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/660/
24,661,data.game_data.problems.custom_phoneme_sound,https://api-play-staging.brightzy.com/word/game/level/24/661/
